Transaction_ID,Price,Date,Postcode,Property_Type,Old_New,Duration,PAON,SAON,Street,Locality,Town_City,District,PPD_Category,Record_Status,County
{023CB532-E4CC-48AF-BD5B-92B4214F171D},181000,2013-02-15 00:00,RM7 9HT,S,N,F,45,,AINSLEY AVENUE,,ROMFORD,HAVERING,A,A,GREATER LONDON
{95A3943A-0E8B-49BB-BD90-929763D0C494},477500,2013-09-06 00:00,EN2 0HS,S,N,F,4,,ELM GARDENS,,ENFIELD,ENFIELD,A,A,GREATER LONDON
{3AA03487-5336-402B-BDF6-92B415FFADE7},706379,2013-10-18 00:00,N5 2HZ,F,N,L,60D,,BERESFORD ROAD,,LONDON,ISLINGTON,A,A,GREATER LONDON
{07C8F12E-3A07-4EEA-A2D0-8F063122E390},225000,2013-04-18 00:00,E1 5AS,F,N,L,JOHN PRITCHARD HOUSE,FLAT 26,BUXTON STREET,,LONDON,TOWER HAMLETS,A,A,GREATER LONDON
{48377387-138B-4BA1-A350-92974878808A},434500,2013-08-30 00:00,EN5 2BW,S,N,F,29,,SHERRARDS WAY,,BARNET,BARNET,A,A,GREATER LONDON
{C976BE35-71B1-498F-9EF4-92B3C27F8D5B},239000,2013-04-05 00:00,TW11 9QR,F,N,L,40,,BUCKLANDS ROAD,,TEDDINGTON,RICHMOND UPON THAMES,A,A,GREATER LONDON
{27799778-FC43-4B5F-9BA2-8B60700A3E85},180000,2013-12-20 00:00,RM12 4TE,F,N,L,"PELL COURT, 165 - 171",APARTMENT 12,HORNCHURCH ROAD,,HORNCHURCH,HAVERING,A,A,GREATER LONDON
{59294585-4DC8-4582-BDFD-8B6053B182AB},245000,2013-05-24 00:00,SW16 5PE,F,N,L,15B,,BARROW ROAD,STREATHAM,LONDON,LAMBETH,A,A,GREATER LONDON
{C6665F63-8A37-4C84-97E3-92B33ED8D810},285000,2013-05-17 00:00,E14 7FX,F,Y,L,"HALLMARK COURT, 6",FLAT 302,URSULA GOULD WAY,,LONDON,TOWER HAMLETS,A,A,GREATER LONDON
{B3FC7CC2-C091-417E-B558-92B3317B4D56},305000,2013-12-20 00:00,RM12 4JQ,T,N,F,135,,THE AVENUE,,HORNCHURCH,HAVERING,A,A,GREATER LONDON
{DEBA1217-D3DC-4454-A940-92B326F1E7CF},312000,2013-06-07 00:00,SW9 0BG,F,N,L,"CAUSTON HOUSE, 13",FLAT 302,PRINTERS ROAD,,LONDON,LAMBETH,A,A,GREATER LONDON
{08DD66F7-BF57-48E0-A535-92B31307855B},204000,2013-07-12 00:00,BR5 1AF,F,N,L,28,,PRESCOTT AVENUE,PETTS WOOD,ORPINGTON,BROMLEY,A,A,GREATER LONDON
{BBE9D724-F6E6-4692-9170-F9EA8E01EB0D},228000,2013-01-11 00:00,UB1 1BY,T,N,F,46,,GRANGE ROAD,,SOUTHALL,EALING,A,A,GREATER LONDON
{067EE37E-4678-456B-808A-F66EA0190CF4},195000,2013-04-29 00:00,DA5 3QJ,F,N,L,14,,ALTON CLOSE,,BEXLEY,BEXLEY,A,A,GREATER LONDON
{47008ED7-5781-4103-863F-F2DEB4D8F57F},420000,2013-01-31 00:00,E17 9JW,T,N,F,2,,SALISBURY ROAD,WALTHAMSTOW,LONDON,WALTHAM FOREST,A,A,GREATER LONDON
{1374C57E-22F7-4E7C-A430-F9EA4B878D16},393000,2013-07-12 00:00,SW9 8GF,D,Y,L,2,FLAT 26,CARNEY PLACE,,LONDON,LAMBETH,A,A,GREATER LONDON
{B708000C-A0EB-445C-B226-F9EA36F4B4C0},382500,2013-05-10 00:00,SE15 4BY,F,N,L,256,FLAT A,BELLENDEN ROAD,,LONDON,SOUTHWARK,A,A,GREATER LONDON
{1ACC4638-A594-42AF-9178-F66E62D589C6},170000,2013-09-27 00:00,SE28 8PL,T,N,F,60,,EASTGATE CLOSE,,LONDON,BEXLEY,A,A,GREATER LONDON
{4E80DB46-8645-492C-9035-F66E0E38A8DC},250000,2013-01-25 00:00,IG11 0HY,T,Y,L,29,,CROSSNESS ROAD,,BARKING,BARKING AND DAGENHAM,A,A,GREATER LONDON
{0480E3F4-4025-4223-9C4A-F66DBBFBE1F8},485000,2013-05-24 00:00,SM2 6PD,D,N,F,26,,BALMORAL WAY,,SUTTON,SUTTON,A,A,GREATER LONDON
{8E6CAC9C-7FF4-4EF5-BEC1-F9E98A83FDAC},695000,2013-09-19 00:00,SW18 1NS,F,N,L,14,FLAT A,SANTOS ROAD,,LONDON,WANDSWORTH,A,A,GREATER LONDON
{5897DB18-496A-42A5-8C61-EF5B86D5C866},250000,2013-05-31 00:00,KT4 8TF,S,N,F,1,,HUNTINGDON GARDENS,,WORCESTER PARK,SUTTON,A,A,GREATER LONDON
