Property_Type,Price,Sale_Date,Old_New,Town_City,source_file,Sale_Year,Type_Description,type_label,city_label,Market_Segment,unscaled_price,scaled_features,final_features
S,181000.0,2013-02-15,N,ROMFORD,uk_property_full.csv,2013,Semi-Detached,1.0,66.0,Standard,[181000.0],[-0.05402941708062982],"[-0.05402941708062982,66.0]"
S,477500.0,2013-09-06,N,ENFIELD,uk_property_full.csv,2013,Semi-Detached,1.0,88.0,Premium,[477500.0],[0.24816580530540516],"[0.24816580530540516,88.0]"
F,706379.0,2013-10-18,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[706379.0],[0.48144115203219545],"[0.48144115203219545,0.0]"
F,225000.0,2013-04-18,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[225000.0],[-0.009184257603444186],"[-0.009184257603444186,0.0]"
S,434500.0,2013-08-30,N,BARNET,uk_property_full.csv,2013,Semi-Detached,1.0,219.0,Standard,[434500.0],[0.20433985399815557],"[0.20433985399815557,219.0]"
F,239000.0,2013-04-05,N,TEDDINGTON,uk_property_full.csv,2013,,3.0,451.0,Standard,[239000.0],[0.005084656775660332],"[0.005084656775660332,451.0]"
F,180000.0,2013-12-20,N,HORNCHURCH,uk_property_full.csv,2013,,3.0,221.0,Standard,[180000.0],[-0.05504862525056586],"[-0.05504862525056586,221.0]"
F,245000.0,2013-05-24,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[245000.0],[0.011199905795276554],"[0.011199905795276554,0.0]"
F,285000.0,2013-05-17,Y,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[285000.0],[0.05196823259271804],"[0.05196823259271804,0.0]"
T,305000.0,2013-12-20,N,HORNCHURCH,uk_property_full.csv,2013,Terraced,0.0,221.0,Standard,[305000.0],[0.07235239599143878],"[0.07235239599143878,221.0]"
F,312000.0,2013-06-07,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[312000.0],[0.07948685318099104],"[0.07948685318099104,0.0]"
F,204000.0,2013-07-12,N,ORPINGTON,uk_property_full.csv,2013,,3.0,151.0,Standard,[204000.0],[-0.030587629172100967],"[-0.030587629172100967,151.0]"
T,228000.0,2013-01-11,N,SOUTHALL,uk_property_full.csv,2013,Terraced,0.0,439.0,Standard,[228000.0],[-0.006126633093636076],"[-0.006126633093636076,439.0]"
F,195000.0,2013-04-29,N,BEXLEY,uk_property_full.csv,2013,,3.0,647.0,Standard,[195000.0],[-0.0397605027015253],"[-0.0397605027015253,647.0]"
T,420000.0,2013-01-31,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[420000.0],[0.18956133553408305],"[0.18956133553408305,0.0]"
D,393000.0,2013-07-12,Y,LONDON,uk_property_full.csv,2013,Detached,2.0,0.0,Standard,[393000.0],[0.16204271494581005],"[0.16204271494581005,0.0]"
F,382500.0,2013-05-10,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Standard,[382500.0],[0.15134102916148165],"[0.15134102916148165,0.0]"
T,170000.0,2013-09-27,N,LONDON,uk_property_full.csv,2013,Terraced,0.0,0.0,Standard,[170000.0],[-0.06524070694992623],"[-0.06524070694992623,0.0]"
T,250000.0,2013-01-25,Y,BARKING,uk_property_full.csv,2013,Terraced,0.0,346.0,Standard,[250000.0],[0.01629594664495674],"[0.01629594664495674,346.0]"
D,485000.0,2013-05-24,N,SUTTON,uk_property_full.csv,2013,Detached,2.0,127.0,Premium,[485000.0],[0.25580986657992544],"[0.25580986657992544,127.0]"
F,695000.0,2013-09-19,N,LONDON,uk_property_full.csv,2013,,3.0,0.0,Premium,[695000.0],[0.46984358226649325],"[0.46984358226649325,0.0]"
